Timestamp(ms),Theta,Beta,FocusRatio
1780912574320,0.415128,0.130767,0.315003
1780912574336,0.414395,0.130685,0.315364
1780912574352,0.414395,0.130685,0.315363
1780912574368,0.414394,0.130685,0.315363
1780912574384,0.415125,0.130766,0.315003
1780912574400,0.414393,0.130684,0.315363
1780912574416,0.415132,0.130768,0.315003
1780912574432,0.4144,0.130687,0.315363
1780912574448,0.4144,0.130687,0.315363
1780912574465,0.415133,0.130768,0.315003
1780912574480,0.414395,0.130685,0.315364
1780912574496,0.414391,0.130684,0.315364
1780912574512,0.415125,0.130766,0.315004
1780912574528,0.414093,0.130727,0.315695
1780912574544,0.414394,0.130685,0.315364
1780912574560,0.414395,0.130685,0.315364
1780912574577,0.414395,0.130685,0.315364
1780912574592,0.415128,0.130767,0.315003
1780912574608,0.415127,0.130766,0.315003
1780912574624,0.413674,0.130742,0.31605
1780912574640,0.415126,0.130766,0.315003
1780912574656,0.414094,0.130727,0.315694
1780912574672,0.384993,0.138088,0.358675
1780912574689,0.385916,0.138013,0.357624
1780912574704,0.385003,0.13809,0.358673
1780912574720,0.385002,0.13809,0.358673
1780912574736,0.385912,0.138012,0.357625
1780912574752,0.385912,0.138012,0.357626
1780912574768,0.384999,0.138089,0.358675
1780912574783,0.385003,0.13809,0.358673
1780912574799,0.385927,0.138015,0.35762
1780912574816,0.385006,0.13809,0.35867
1780912574831,0.384999,0.138089,0.358674
1780912574847,0.384997,0.138089,0.358676
1780912574863,0.384998,0.13809,0.358676
1780912574879,0.385002,0.138091,0.358675
1780912574895,0.385921,0.138015,0.357625
1780912574911,0.385921,0.138015,0.357625
1780912574927,0.385002,0.138091,0.358675
1780912574943,0.384998,0.138089,0.358675
1780912574959,0.384995,0.138088,0.358675
1780912574975,0.385917,0.138013,0.357624
1780912574991,0.384997,0.138089,0.358675
1780912575007,0.384994,0.138088,0.358676
1780912575023,0.385914,0.138012,0.357625
1780912575039,0.384995,0.138088,0.358676
1780912575055,0.385917,0.138013,0.357624
1780912575071,0.384382,0.138263,0.359703
1780912575087,0.385917,0.138013,0.357624
1780912575103,0.385917,0.138013,0.357625
1780912575119,0.385918,0.138014,0.357625
1780912575135,0.384998,0.138089,0.358675
1780912575151,0.384998,0.138089,0.358675
1780912575167,0.385917,0.138013,0.357624
1780912575183,0.363672,0.14541,0.39984
1780912575199,0.363672,0.145411,0.39984
1780912575216,0.362745,0.14551,0.401137
1780912575231,0.362746,0.145511,0.401136
1780912575247,0.363679,0.145412,0.399836
1780912575263,0.362744,0.14551,0.401136
1780912575280,0.363675,0.145411,0.399838
1780912575296,0.363675,0.145411,0.399839
1780912575312,0.362743,0.14551,0.401139
1780912575326,0.362743,0.14551,0.401138
1780912575342,0.363675,0.145411,0.399839
