Timestamp(ms),Theta,Beta,FocusRatio
1780912996331,0.37728,0.104392,0.276697
1780912996347,0.377068,0.10422,0.276397
1780912996363,0.37063,0.100339,0.270726
1780912996379,0.370445,0.100206,0.270501
1780912996394,0.37063,0.100339,0.270726
1780912996409,0.370248,0.100069,0.270277
1780912996425,0.37063,0.100339,0.270726
1780912996441,0.37063,0.100339,0.270726
1780912996457,0.370445,0.100206,0.270501
1780912996473,0.370445,0.100206,0.270501
1780912996489,0.370445,0.100206,0.270501
1780912996505,0.37063,0.100339,0.270726
1780912996521,0.37063,0.100339,0.270726
1780912996537,0.370445,0.100206,0.270501
1780912996552,0.370445,0.100206,0.270501
1780912996568,0.370445,0.100206,0.270501
1780912996583,0.370445,0.100206,0.270501
1780912996599,0.370445,0.100206,0.270501
1780912996615,0.370248,0.100069,0.270277
1780912996630,0.37063,0.100339,0.270726
1780912996645,0.37063,0.100339,0.270726
1780912996661,0.37063,0.100339,0.270726
1780912996676,0.37063,0.100339,0.270726
1780912996692,0.370445,0.100206,0.270501
1780912996708,0.37063,0.100339,0.270726
1780912996724,0.370445,0.100206,0.270501
1780912996740,0.370445,0.100206,0.270501
1780912996756,0.37063,0.100339,0.270726
1780912996772,0.370248,0.100069,0.270277
1780912996788,0.370445,0.100206,0.270501
1780912996804,0.370445,0.100206,0.270501
1780912996820,0.370445,0.100206,0.270501
1780912996836,0.37063,0.100339,0.270726
1780912996851,0.37063,0.100339,0.270726
1780912996866,0.370248,0.100069,0.270277
1780912996882,0.370238,0.10015,0.270502
1780912996897,0.370238,0.10015,0.270502
1780912996913,0.370238,0.10015,0.270502
1780912996929,0.370238,0.10015,0.270502
1780912996945,0.370413,0.10028,0.270726
1780912996960,0.370413,0.10028,0.270726
1780912996976,0.370051,0.100017,0.270278
1780912996992,0.370238,0.10015,0.270502
1780912997008,0.370413,0.10028,0.270726
1780912997024,0.370238,0.10015,0.270502
1780912997040,0.370051,0.100017,0.270278
1780912997056,0.370413,0.10028,0.270726
1780912997072,0.370238,0.10015,0.270502
1780912997088,0.370238,0.10015,0.270502
1780912997104,0.370051,0.100017,0.270278
1780912997120,0.370238,0.10015,0.270502
1780912997136,0.370238,0.10015,0.270502
1780912997152,0.370413,0.10028,0.270726
1780912997168,0.370051,0.100017,0.270278
1780912997184,0.370413,0.10028,0.270726
1780912997200,0.370413,0.10028,0.270726
1780912997216,0.370238,0.10015,0.270502
1780912997231,0.370413,0.10028,0.270726
1780912997246,0.370238,0.10015,0.270502
1780912997262,0.370413,0.10028,0.270726
1780912997278,0.370238,0.10015,0.270502
1780912997294,0.370238,0.10015,0.270502
1780912997310,0.370238,0.10015,0.270502
1780912997325,0.370238,0.10015,0.270502
1780912997340,0.370413,0.10028,0.270726
1780912997356,0.370051,0.100017,0.270278
1780912997372,0.370413,0.10028,0.270726
1780912997388,0.370238,0.10015,0.270502
1780912997404,0.370411,0.100281,0.270729
1780912997420,0.370411,0.100281,0.270729
1780912997436,0.370411,0.100281,0.270729
1780912997452,0.37005,0.100018,0.270281
1780912997468,0.370237,0.100151,0.270505
1780912997484,0.370237,0.100151,0.270505
1780912997500,0.370237,0.100151,0.270505
1780912997516,0.370237,0.100151,0.270505
1780912997532,0.37005,0.100018,0.270281
1780912997548,0.370237,0.100151,0.270505
1780912997564,0.370411,0.100281,0.270729
1780912997579,0.370237,0.100151,0.270505
1780912997594,0.37005,0.100018,0.270281
1780912997610,0.370411,0.100281,0.270729
1780912997625,0.370237,0.100151,0.270505
1780912997641,0.37005,0.100018,0.270281
1780912997657,0.370237,0.100151,0.270505
1780912997673,0.370237,0.100151,0.270505
1780912997689,0.370411,0.100281,0.270729
1780912997705,0.370237,0.100151,0.270505
1780912997721,0.370411,0.100281,0.270729
1780912997737,0.370411,0.100281,0.270729
1780912997753,0.370411,0.100281,0.270729
1780912997769,0.369864,0.0998838,0.270056
1780912997785,0.370411,0.100281,0.270729
1780912997800,0.37005,0.100018,0.270281
1780912997816,0.370237,0.100151,0.270505
1780912997832,0.370411,0.100281,0.270729
1780912997848,0.370237,0.100151,0.270505
1780912997864,0.370237,0.100151,0.270505
1780912997880,0.370237,0.100151,0.270505
1780912997896,0.370237,0.100151,0.270505
1780912997912,0.370238,0.100152,0.270506
1780912997928,0.370052,0.100018,0.270282
1780912997944,0.370238,0.100152,0.270506
1780912997960,0.370052,0.100018,0.270282
1780912997976,0.370238,0.100152,0.270506
1780912997992,0.370052,0.100018,0.270282
1780912998008,0.370413,0.100282,0.27073
1780912998024,0.370413,0.100282,0.27073
1780912998040,0.370238,0.100152,0.270506
1780912998056,0.370413,0.100282,0.27073
1780912998071,0.370238,0.100152,0.270506
1780912998086,0.370238,0.100152,0.270506
1780912998101,0.370413,0.100282,0.27073
1780912998116,0.370413,0.100282,0.27073
1780912998132,0.370052,0.100018,0.270282
1780912998148,0.370413,0.100282,0.27073
1780912998164,0.370238,0.100152,0.270506
1780912998180,0.370238,0.100152,0.270506
1780912998195,0.370052,0.100018,0.270282
1780912998210,0.370413,0.100282,0.27073
1780912998225,0.370238,0.100152,0.270506
1780912998240,0.370238,0.100152,0.270506
1780912998256,0.370052,0.100018,0.270282
1780912998272,0.370413,0.100282,0.27073
1780912998288,0.370413,0.100282,0.27073
1780912998304,0.370413,0.100282,0.27073
1780912998320,0.370238,0.100152,0.270506
1780912998336,0.370238,0.100152,0.270506
1780912998352,0.370413,0.100282,0.27073
1780912998368,0.370238,0.100152,0.270506
1780912998383,0.370238,0.100152,0.270506
1780912998399,0.370238,0.100152,0.270506
1780912998415,0.370239,0.100153,0.27051
1780912998431,0.370239,0.100153,0.27051
1780912998446,0.370052,0.10002,0.270286
1780912998461,0.370239,0.100153,0.27051
1780912998477,0.370413,0.100283,0.270734
1780912998493,0.370413,0.100283,0.270734
1780912998509,0.370413,0.100283,0.270734
1780912998525,0.370413,0.100283,0.270734
1780912998541,0.370413,0.100283,0.270734
1780912998557,0.370239,0.100153,0.27051
1780912998573,0.370413,0.100283,0.270734
1780912998589,0.370413,0.100283,0.270734
1780912998605,0.370239,0.100153,0.27051
1780912998621,0.370413,0.100283,0.270734
1780912998637,0.370413,0.100283,0.270734
1780912998653,0.370413,0.100283,0.270734
1780912998669,0.370413,0.100283,0.270734
1780912998685,0.370239,0.100153,0.27051
1780912998701,0.370413,0.100283,0.270734
1780912998716,0.370413,0.100283,0.270734
1780912998731,0.370239,0.100153,0.27051
1780912998747,0.370413,0.100283,0.270734
1780912998763,0.370413,0.100283,0.270734
1780912998779,0.370413,0.100283,0.270734
1780912998795,0.370239,0.100153,0.27051
1780912998811,0.370239,0.100153,0.27051
1780912998826,0.370413,0.100283,0.270734
1780912998841,0.370413,0.100283,0.270734
1780912998857,0.370413,0.100283,0.270734
1780912998873,0.370413,0.100283,0.270734
