102,73.010327,77.894636,1.791412,-3.579084,0,0,0,0,0,0,0,0,1780913059,0
102,-125.346487,-119.811435,1.260346,-6.155875,0,0,0,0,0,0,0,0,1780913059,0
103,-12.285571,-4.252266,-2.344917,-5.59115,0,0,0,0,0,0,0,0,1780913059,0
103,66.618838,73.724648,-2.086864,-7.247926,0,0,0,0,0,0,0,0,1780913059,0
104,-48.102593,-41.774683,0.400169,-4.764633,0,0,0,0,0,0,0,0,1780913059,0
104,-126.606833,-119.904932,-1.630596,-9.858376,0,0,0,0,0,0,0,0,1780913059,0
105,-10.647495,-6.507426,-2.430935,-10.987826,0,0,0,0,0,0,0,0,1780913059,0
105,73.937822,77.894636,-2.61419,-0.347811,0,0,0,0,0,0,0,0,1780913059,0
106,-40.794829,-33.109334,-1.409942,-5.680908,0,0,0,0,0,0,0,0,1780913059,0
106,-133.477029,-125.353967,0.026179,-8.433474,0,0,0,0,0,0,0,0,1780913059,0
107,-14.996999,-4.891789,-2.531912,-2.161662,0,0,0,0,0,0,0,0,1780913059,0
107,68.728141,82.517153,-3.564125,-14.709027,0,0,0,0,0,0,0,0,1780913059,0
108,-45.929711,-33.468365,-2.142963,-5.449034,0,0,0,0,0,0,0,0,1780913059,0
108,-131.562201,-116.770896,-0.38521,-4.517799,0,0,0,0,0,0,0,0,1780913059,0
109,-13.059731,0.269273,0.639523,-9.065517,0,0,0,0,0,0,0,0,1780913059,0
109,70.964602,84.600277,0.916275,-10.116429,0,0,0,0,0,0,0,0,1780913059,0
110,-41.905579,-31.4189,4.315845,1.215467,0,0,0,0,0,0,0,0,1780913059,0
110,-119.61696,-111.860408,2.775006,-4.278446,0,0,0,0,0,0,0,0,1780913059,0
111,-8.310058,-4.401862,4.637476,-8.654128,0,0,0,0,0,0,0,0,1780913059,0
111,72.363324,85.456714,-0.37399,-6.301731,0,0,0,0,0,0,0,0,1780913059,0
112,-38.89122,-38.218038,-0.38521,-7.909888,0,0,0,0,0,0,0,0,1780913059,0
112,-122.092774,-113.591981,-4.083971,-8.186641,0,0,0,0,0,0,0,0,1780913059,0
113,-10.512859,-2.139223,-0.134636,1.739053,0,0,0,0,0,0,0,0,1780913059,0
113,69.831412,79.955321,-1.619377,-4.435521,0,0,0,0,0,0,0,0,1780913059,0
114,-42.414205,-30.973851,-2.718907,-4.158769,0,0,0,0,0,0,0,0,1780913059,0
114,-126.853667,-115.114121,-2.438415,-1.589457,0,0,0,0,0,0,0,0,1780913059,0
115,-10.662455,-6.690681,3.601524,-4.409342,0,0,0,0,0,0,0,0,1780913059,0
115,75.336545,82.872443,-0.75546,-6.836537,0,0,0,0,0,0,0,0,1780913059,0
116,-42.365587,-41.980377,2.404756,0.837738,0,0,0,0,0,0,0,0,1780913059,0
116,-121.569188,-120.103147,-1.189288,-10.512859,0,0,0,0,0,0,0,0,1780913059,0
117,-7.573297,-13.482339,1.989627,-2.875983,0,0,0,0,0,0,0,0,1780913059,0
117,75.628257,75.766633,0.36277,-2.580531,0,0,0,0,0,0,0,0,1780913059,0
118,-38.14324,-40.869627,3.268673,-3.75112,0,0,0,0,0,0,0,0,1780913059,0
118,-117.260823,-124.669565,1.48848,-10.202447,0,0,0,0,0,0,0,0,1780913059,0
119,-9.016899,-16.788411,0.946195,-6.548565,0,0,0,0,0,0,0,0,1780913059,0
119,76.907303,76.656729,0.572205,-6.129696,0,0,0,0,0,0,0,0,1780913059,0
120,-35.820762,-36.594921,0.624563,-12.925094,0,0,0,0,0,0,0,0,1780913059,0
120,-119.134513,-111.931466,4.727234,-9.454467,0,0,0,0,0,0,0,0,1780913059,0
121,-5.879123,-0.067318,-0.931235,-8.205341,0,0,0,0,0,0,0,0,1780913059,0
121,79.214821,85.202401,-0.905056,-11.851743,0,0,0,0,0,0,0,0,1780913059,0
122,-37.930065,-34.451958,-0.7592,-5.396676,0,0,0,0,0,0,0,0,1780913059,0
122,-132.33262,-136.08374,1.746533,-5.703347,0,0,0,0,0,0,0,0,1780913059,0
123,-16.09279,-9.173975,-0.437568,0.026179,0,0,0,0,0,0,0,0,1780913059,0
123,77.094298,95.984532,1.305225,-11.305718,0,0,0,0,0,0,0,0,1780913059,0
124,-39.930912,-16.956706,-1.282786,-7.158169,0,0,0,0,0,0,0,0,1780913059,0
124,-134.18761,-113.954752,-1.398723,-8.201601,0,0,0,0,0,0,0,0,1780913059,0
125,-19.484879,4.446741,-3.455668,-12.72688,0,0,0,0,0,0,0,0,1780913059,0
125,68.978715,97.820823,-3.680062,-9.648942,0,0,0,0,0,0,0,0,1780913059,0
126,-39.568142,-21.429627,0.923755,-2.659069,0,0,0,0,0,0,0,0,1780913059,0
126,-136.375452,-107.28277,-1.372543,-15.277491,0,0,0,0,0,0,0,0,1780913059,0
127,-21.867195,7.154429,2.124263,-6.114736,0,0,0,0,0,0,0,0,1780913059,0
127,64.28514,99.238245,4.454221,-13.302824,0,0,0,0,0,0,0,0,1780913059,0
128,-51.995829,-15.845956,0.826518,-2.019546,0,0,0,0,0,0,0,0,1780913059,0
128,-140.347226,-100.090943,-3.418269,-4.820731,0,0,0,0,0,0,0,0,1780913059,0
129,-28.213805,11.784425,-5.392936,-3.122816,0,0,0,0,0,0,0,0,1780913059,0
