Timestamp(ms),Theta,Beta,FocusRatio
1780913583536,0.373406,0.104781,0.28061
1780913583552,0.373844,0.105145,0.281255
1780913583568,0.374039,0.105321,0.281578
1780913583584,0.373843,0.105145,0.281255
1780913583600,0.374038,0.105321,0.281578
1780913583616,0.373843,0.105145,0.281255
1780913583632,0.374037,0.105321,0.281578
1780913583648,0.374037,0.10532,0.281578
1780913583664,0.373841,0.105145,0.281255
1780913583680,0.373841,0.105145,0.281255
1780913583696,0.373843,0.105145,0.281255
1780913583712,0.374038,0.105321,0.281578
1780913583728,0.373843,0.105145,0.281255
1780913583744,0.374038,0.105321,0.281578
1780913583760,0.373843,0.105145,0.281255
1780913583775,0.374038,0.105321,0.281578
1780913583791,0.373843,0.105145,0.281255
1780913583807,0.373627,0.104964,0.280932
1780913583823,0.373198,0.104601,0.280283
1780913583839,0.374039,0.105321,0.281578
1780913583855,0.374039,0.105321,0.281578
1780913583871,0.373844,0.105145,0.281255
1780913583887,0.367316,0.100645,0.274002
1780913583903,0.367315,0.100645,0.274002
1780913583919,0.367314,0.100645,0.274002
1780913583935,0.367129,0.100499,0.273743
1780913583951,0.367312,0.100645,0.274003
1780913583967,0.36748,0.100786,0.274263
1780913583983,0.36748,0.100786,0.274263
1780913583999,0.367313,0.100645,0.274003
1780913584015,0.36748,0.100786,0.274263
1780913584031,0.367481,0.100786,0.274263
1780913584046,0.367481,0.100786,0.274262
1780913584061,0.367481,0.100786,0.274262
1780913584076,0.367481,0.100786,0.274262
1780913584092,0.36713,0.100499,0.273743
1780913584108,0.36713,0.100499,0.273743
1780913584124,0.367314,0.100645,0.274002
1780913584140,0.367481,0.100786,0.274262
1780913584156,0.367481,0.100786,0.274262
1780913584172,0.367481,0.100786,0.274262
1780913584188,0.367481,0.100786,0.274262
1780913584204,0.367314,0.100645,0.274002
1780913584220,0.367481,0.100786,0.274262
1780913584236,0.367314,0.100645,0.274002
1780913584252,0.367481,0.100786,0.274262
1780913584268,0.36713,0.100499,0.273743
1780913584284,0.367481,0.100786,0.274262
1780913584300,0.367314,0.100645,0.274002
1780913584316,0.367481,0.100786,0.274262
1780913584332,0.367314,0.100645,0.274002
1780913584348,0.36713,0.100499,0.273743
1780913584364,0.367481,0.100786,0.274262
1780913584379,0.367481,0.100786,0.274262
1780913584394,0.367192,0.100473,0.273626
1780913584410,0.367017,0.100335,0.27338
1780913584426,0.36735,0.100607,0.273872
1780913584442,0.367192,0.100473,0.273626
1780913584457,0.36735,0.100607,0.273872
1780913584472,0.367192,0.100473,0.273626
1780913584487,0.367192,0.100473,0.273626
1780913584503,0.367017,0.100335,0.27338
1780913584519,0.36735,0.100607,0.273872
1780913584534,0.367192,0.100473,0.273626
1780913584549,0.367192,0.100473,0.273626
1780913584565,0.367192,0.100473,0.273626
1780913584581,0.36735,0.100607,0.273872
1780913584597,0.367192,0.100473,0.273626
1780913584613,0.36735,0.100607,0.273872
1780913584629,0.36735,0.100607,0.273872
1780913584644,0.367192,0.100473,0.273626
1780913584659,0.36735,0.100607,0.273872
1780913584675,0.36735,0.100607,0.273872
1780913584691,0.367192,0.100473,0.273626
1780913584707,0.367192,0.100473,0.273626
1780913584723,0.36735,0.100607,0.273872
1780913584739,0.367192,0.100473,0.273626
1780913584755,0.367192,0.100473,0.273626
1780913584771,0.36735,0.100607,0.273872
1780913584787,0.36735,0.100607,0.273872
1780913584803,0.36735,0.100607,0.273872
1780913584819,0.36735,0.100607,0.273872
1780913584835,0.36735,0.100607,0.273872
1780913584851,0.367192,0.100473,0.273626
1780913584867,0.36735,0.100607,0.273872
1780913584883,0.367192,0.100473,0.273626
1780913584899,0.367192,0.100473,0.273626
1780913584915,0.36735,0.100607,0.273872
1780913584931,0.367107,0.10065,0.274171
1780913584946,0.367266,0.100781,0.27441
1780913584961,0.367266,0.100781,0.27441
1780913584976,0.367266,0.100781,0.27441
1780913584991,0.367266,0.100781,0.27441
1780913585006,0.367266,0.100781,0.27441
1780913585022,0.367266,0.100781,0.27441
1780913585038,0.366931,0.100515,0.273933
1780913585054,0.367266,0.100781,0.27441
1780913585070,0.367107,0.10065,0.274171
1780913585086,0.367107,0.10065,0.274171
1780913585102,0.367266,0.100781,0.27441
1780913585118,0.367266,0.100781,0.27441
1780913585134,0.367107,0.10065,0.274171
1780913585150,0.367266,0.100781,0.27441
1780913585166,0.367266,0.100781,0.27441
1780913585182,0.367266,0.100781,0.27441
1780913585198,0.367266,0.100781,0.27441
1780913585214,0.367266,0.100781,0.27441
1780913585230,0.367107,0.10065,0.274171
1780913585245,0.367107,0.10065,0.274171
1780913585260,0.367107,0.10065,0.274171
1780913585276,0.366931,0.100515,0.273933
1780913585291,0.367266,0.100781,0.27441
1780913585306,0.367266,0.100781,0.27441
1780913585322,0.367107,0.10065,0.274171
1780913585338,0.367107,0.10065,0.274171
1780913585354,0.367266,0.100781,0.27441
1780913585370,0.367266,0.100781,0.27441
1780913585386,0.366931,0.100515,0.273933
1780913585402,0.367266,0.100781,0.27441
1780913585418,0.367266,0.100781,0.27441
1780913585434,0.366931,0.100515,0.273933
1780913585450,0.367203,0.100929,0.27486
1780913585465,0.367044,0.100799,0.274624
1780913585481,0.367044,0.100799,0.274624
1780913585497,0.367203,0.100929,0.27486
1780913585513,0.367044,0.100799,0.274624
1780913585529,0.367203,0.100929,0.27486
1780913585545,0.367203,0.100929,0.27486
1780913585561,0.367044,0.100799,0.274624
1780913585576,0.367044,0.100799,0.274624
1780913585591,0.367044,0.100799,0.274624
1780913585607,0.367044,0.100799,0.274624
1780913585623,0.367044,0.100799,0.274624
1780913585639,0.367203,0.100929,0.27486
1780913585655,0.367203,0.100929,0.27486
1780913585671,0.367044,0.100799,0.274624
1780913585687,0.367203,0.100929,0.27486
1780913585703,0.367203,0.100929,0.27486
1780913585719,0.367203,0.100929,0.27486
1780913585735,0.367203,0.100929,0.27486
1780913585751,0.367203,0.100929,0.27486
1780913585767,0.367203,0.100929,0.27486
1780913585783,0.366868,0.100664,0.274389
1780913585799,0.367044,0.100799,0.274624
1780913585815,0.366868,0.100664,0.274389
1780913585831,0.367203,0.100929,0.27486
1780913585846,0.367203,0.100929,0.27486
1780913585861,0.367044,0.100799,0.274624
1780913585876,0.367044,0.100799,0.274624
1780913585891,0.367044,0.100799,0.274624
1780913585907,0.367203,0.100929,0.27486
1780913585923,0.366868,0.100664,0.274389
